,#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
0,1,Nicolas Laprovittola,JOV,36,30.5,5.5,11.8,0.46799999999999997,2.4,6.1,0.39399999999999996,3.7,4.7,0.792,4.7,2.6,0.3,2.2,2.5,6.4,1.1,0.1,17.1
1,2,Askia Booker,MUR,33,22.7,5.6,12.6,0.446,2.1,5.8,0.363,1.7,2.3,0.727,2.2,2.2,0.6,1.8,2.4,2.4,0.8,0.0,15.0
2,3,Dario Brizuela,EST,30,23.8,5.3,11.0,0.47700000000000004,1.3,4.3,0.312,2.8,3.4,0.833,2.1,2.3,0.4,1.4,1.8,3.0,0.9,0.1,14.7
3,4,Stan Okoye,ZAR,37,26.1,5.1,12.0,0.425,2.3,5.6,0.40700000000000003,2.1,2.7,0.77,1.4,2.6,1.2,3.7,4.9,1.4,1.2,0.6,14.6
4,5,Paco Cruz,MON,34,25.2,5.5,11.7,0.467,2.0,4.8,0.409,1.5,2.1,0.722,2.4,2.5,0.7,2.1,2.8,2.8,0.9,0.0,14.4
5,6,Kostas Vasiliadis,OBR,31,23.2,3.6,9.6,0.38,3.1,7.9,0.389,3.6,4.0,0.902,1.2,1.6,0.2,2.1,2.2,2.0,0.6,0.1,13.9
6,7,Ryan Toolson,MAN,31,26.9,4.7,9.8,0.48,2.0,4.7,0.429,2.0,2.0,0.9840000000000001,2.1,1.8,0.3,1.6,1.9,2.4,0.6,0.3,13.4
7,8,Dylan Ennis,AND,33,25.0,4.5,10.2,0.436,1.6,4.3,0.366,2.9,3.9,0.738,1.7,2.0,0.8,2.2,3.0,2.7,0.8,0.2,13.4
8,9,Thomas Heurtel,FCB,41,21.8,4.7,8.8,0.529,1.2,3.1,0.405,2.4,2.8,0.858,2.3,2.1,0.2,1.9,2.1,5.4,0.9,0.0,12.9
9,10,Marcus Eriksson,GCN,29,19.5,4.0,8.6,0.47,2.5,5.5,0.45,2.0,2.2,0.9209999999999999,0.7,1.1,0.3,1.8,2.1,1.0,0.6,0.0,12.6
10,11,Gian Clavell,EST,33,22.5,4.1,10.2,0.4,2.4,6.6,0.35600000000000004,2.0,2.9,0.698,1.2,2.6,0.4,1.8,2.2,0.9,0.6,0.2,12.5
11,12,Bojan Dubljevic,VAL,37,23.1,4.6,9.0,0.515,1.2,3.0,0.409,2.0,2.8,0.735,2.1,1.9,2.1,4.2,6.2,1.4,0.8,0.2,12.5
12,13,Deon Thompson,SPB,15,26.9,4.6,9.3,0.493,0.7,2.8,0.262,2.5,3.5,0.7170000000000001,1.7,2.5,1.2,4.4,5.6,1.2,0.4,0.9,12.5
13,14,Thaddeus McFadden,CAN,15,21.4,4.0,8.6,0.465,2.3,5.7,0.40700000000000003,1.9,2.2,0.848,1.5,1.3,0.1,1.4,1.5,2.3,0.6,0.1,12.2
14,15,Tim Abromaitis,CAN,34,26.6,3.8,8.6,0.447,1.7,4.4,0.384,2.6,2.9,0.879,1.0,2.4,1.1,2.9,3.9,1.2,1.0,0.2,11.9
15,16,Shawn Dawson,JOV,18,23.2,4.2,8.5,0.49,1.3,3.3,0.4,2.0,2.4,0.818,2.3,3.4,0.9,3.3,4.2,1.5,0.7,0.4,11.7
16,17,Garrett Nevels,GBC,34,26.1,4.9,11.4,0.426,1.0,3.5,0.292,0.9,1.1,0.8059999999999999,1.7,2.7,1.0,3.3,4.3,1.9,1.1,0.3,11.6
17,18,Jaime Fernandez,UNI,31,24.3,4.0,9.2,0.433,1.2,3.7,0.325,2.4,2.9,0.8240000000000001,1.7,2.4,0.4,2.2,2.6,4.4,1.2,0.0,11.5
18,19,Colton Iverson,CAN,34,23.6,4.4,6.9,0.635,0.1,0.1,1.0,2.8,4.4,0.623,1.5,2.9,2.3,4.7,7.0,0.8,0.8,0.7,11.5
19,20,Matt Thomas,VAL,29,20.4,4.1,8.0,0.511,2.2,4.5,0.485,1.1,1.3,0.846,1.3,2.3,0.3,1.2,1.6,1.6,0.4,0.0,11.4
20,21,Volodymyr Herun,BRE,33,24.7,4.5,7.6,0.5920000000000001,0.0,0.0,0.0,2.4,3.9,0.62,1.1,2.2,3.4,3.2,6.5,0.9,0.5,0.5,11.4
21,22,Kyle Wiltjer,UNI,37,19.7,4.2,8.7,0.484,2.0,4.7,0.429,0.9,1.1,0.7859999999999999,0.8,1.6,0.8,1.9,2.6,0.7,0.2,0.2,11.4
