,Player,Pos,HT,WT,Team,Birth City,Draft Status,Nationality
0,Alberto Abalde,GF,6-7,215,Valencia Basket,A Coruna,"2017 NBA Draft, Undrafted",Spain
1,Alex Abrines,GF,6-6,190,FC Barcelona Lassa,Palma,2013 Rnd 2 Pick 2,Spain
2,Josh Adams,G,6-2,190,Unicaja Malaga,Parker (CO),"2016 NBA Draft, Undrafted",United States
3,Pablo Aguilar,PF,6-8,235,Iberostar Tenerife,Granada,"2011 NBA Draft, Undrafted",Spain
4,Pablo Almazan,SF,6-5,190,Real Betis Energia Plus,Granada,"2011 NBA Draft, Undrafted",Spain
5,Carlos Alocen,PG,6-5,205,Real Madrid,Zaragoza,2022 NBA Draft Eligible,Spain
6,Francisco Alonso,G,6-3,185,Montakit Fuenlabrada,Malaga,"2019 NBA Draft, Undrafted",Spain
7,Karvel Anderson,G,6-2,190,Montakit Fuenlabrada,Elkhart (IN),"2014 NBA Draft, Undrafted",United States
8,Dragan Apic,C,6-9,229,San Pablo Inmobiliaria Burgos,Novi Sad,"2017 NBA Draft, Undrafted",Serbia
9,Nacho Arroyo,PG,6-1,170,Movistar Estudiantes,Osorno,2022 NBA Draft Eligible,Chile
10,Victor Arteaga,C,7-0,214,Movistar Estudiantes,Cuenca,"2014 NBA Draft, Undrafted",Spain
11,Darion Atkins,PF,6-8,235,Iberostar Tenerife,Clinton (MD),"2015 NBA Draft, Undrafted",United States
12,Aleksa Avramovic,G,6-3,190,Unicaja Malaga,Cacak,"2016 NBA Draft, Undrafted",Serbia
13,Eulis Baez,PF,6-7,225,ICL Manresa,Santo Domingo,"2005 NBA Draft, Undrafted",Dominican Republic
14,Olek Balcerowski,C,7-1,230,Herbalife Gran Canaria,Swidnica,2022 NBA Draft Eligible,Poland
15,Ondrej Balvin,C,7-1,215,RETAbet Bilbao Basket,Usti Nad Labem,"2014 NBA Draft, Undrafted",Czech Republic
16,Jonathan Barreiro,SF,6-8,200,Tecnyconta Zaragoza,Cerceda,"2019 NBA Draft, Undrafted",SpainPoland
17,Alex Barrera,SG,6-7,180,San Pablo Inmobiliaria Burgos,Esplugues De Llobregat,"2014 NBA Draft, Undrafted",Spain
18,Alexis Bartolome,F,6-7,201,MoraBanc Andorra,La Massana,2020 NBA Draft Eligible,Andorra
19,Ferran Bassas,PG,6-0,188,San Pablo Inmobiliaria Burgos,Barcelona,"2014 NBA Draft, Undrafted",Spain
20,Javier Beiran,SF,6-6,200,Herbalife Gran Canaria,Madrid,"2009 NBA Draft, Undrafted",Spain
21,Laurynas Beliauskas,G,6-4,175,Rio Natura Monbus Obradoiro,Klaipeda,"2019 NBA Draft, Undrafted",Lithuania
22,Tomas Bellas,PG,6-1,198,Montakit Fuenlabrada,Madrid,"2009 NBA Draft, Undrafted",Spain
23,Vitor Benite,SG,6-3,194,San Pablo Inmobiliaria Burgos,Sao Paulo,"2009 NBA Draft, Undrafted",Brazil
24,Robin Benzing,SF,6-8,222,Tecnyconta Zaragoza,Seeheim-Jugenheim,"2011 NBA Draft, Undrafted",Germany
25,Rihards Berzins,F,6-11,200,Iberostar Tenerife,Jurmala,"2019 NBA Draft, Undrafted",Latvia
26,Simon Birgander,FC,6-11,208,Divina Seguros Joventut,Malmo,"2017 NBA Draft, Undrafted",Sweden
27,Vyacheslav Bobrov,SF,6-8,224,Montakit Fuenlabrada,Donetsk,"2014 NBA Draft, Undrafted",Ukraine
28,Georgios Bogris,FC,6-11,235,Iberostar Tenerife,Athens,"2011 NBA Draft, Undrafted",Greece
29,Leandro Bolmaro,F,6-7,178,FC Barcelona Lassa,Cordoba,2022 NBA Draft Eligible,Argentina
30,Askia Booker,SG,6-1,170,UCAM Murcia,Los Angeles (CA),"2015 NBA Draft, Undrafted",United States
31,Tobias Borg,PG,6-0,162,Real Betis Energia Plus,Sodertalje,"2015 NBA Draft, Undrafted",Sweden
32,Yannis Bourousis,C,7-1,265,Herbalife Gran Canaria,Karditsa,"2005 NBA Draft, Undrafted",Greece
33,Axel Bouteille,SF,6-6,180,Unicaja Malaga,Roanne,"2017 NBA Draft, Undrafted",France
34,Dario Brizuela,SG,6-4,161,Unicaja Malaga,San Sebastian,"2016 NBA Draft, Undrafted",Spain
35,Vladimir Brodziansky,PF,6-11,230,Rio Natura Monbus Obradoiro,Bojnice,"2018 NBA Draft, Undrafted",Slovakia
36,Anthony Brown,GF,6-7,225,Montakit Fuenlabrada,Los Angeles (CA),2015 Rnd 2 Pick 4,United States
37,Jaylon Brown,G,6-0,185,RETAbet Bilbao Basket,Fishers (IN),"2017 NBA Draft, Undrafted",United States
38,Nicolas Brussino,G,6-8,195,Tecnyconta Zaragoza,Santa Fe,"2015 NBA Draft, Undrafted",Argentina
39,Perrin Buford,GF,6-6,220,Divina Seguros Joventut,Decatur (AL),"2016 NBA Draft, Undrafted",United States
40,Beka Burjanadze,PF,6-8,260,Herbalife Gran Canaria,Tbilisi,"2016 NBA Draft, Undrafted",Georgia
41,Pep Busquets,F,6-5,198,Divina Seguros Joventut,Granollers,2021 NBA Draft Eligible,Spain
42,Alberto Cabrera,PG,5-10,170,Iberostar Tenerife,Santa Cruz de Tenerife,2020 NBA Draft Eligible,Spain
43,Earl Calloway,G,6-3,175,Rio Natura Monbus Obradoiro,Atlanta (GA),"2007 NBA Draft, Undrafted",United States
44,Facundo Campazzo,PG,5-11,165,Real Madrid,Cordoba,"2013 NBA Draft, Undrafted",Argentina
45,Raimon Carrasco,PG,6-2,188,MoraBanc Andorra,Barcelona,2021 NBA Draft Eligible,Spain
46,Jaycee Carroll,SG,6-2,170,Real Madrid,Laramie (WY),"2008 NBA Draft, Undrafted",United StatesAzerbaijan
47,Emanuel Cate,PF,6-9,225,UCAM Murcia,Bucharest,"2019 NBA Draft, Undrafted",Romania
48,Fabien Causeur,SG,6-3,198,Real Madrid,Brest,"2009 NBA Draft, Undrafted",France
49,Josep Cera,PG,6-1,-,Tecnyconta Zaragoza,,2025 NBA Draft Eligible,Spain
50,Semaj Christon,PG,6-3,190,KIROLBET Baskonia Vitoria-Gasteiz,Cincinnati (OH),2014 Rnd 2 Pick 25,United States
51,Dan Clark,FC,6-10,210,MoraBanc Andorra,Greenwich,"2010 NBA Draft, Undrafted",England
52,Earl Clark,F,6-10,234,San Pablo Inmobiliaria Burgos,Plainfield (NJ),2009 Rnd 1 Pick 14,United States
53,Victor Claver,SF,6-10,235,FC Barcelona Lassa,Valencia,2009 Rnd 1 Pick 22,Spain
54,Guillem Colom,PF,6-4,192,MoraBanc Andorra,Andorra La Vella,"2013 NBA Draft, Undrafted",Andorra
55,Quim Colom,PG,6-2,194,Valencia Basket,Andorra La Vella,"2010 NBA Draft, Undrafted",AndorraSpain
56,Demetrius Conger,F,6-6,205,Real Betis Energia Plus,Brooklyn (NY),"2013 NBA Draft, Undrafted",United States
57,Omar Cook,PG,6-2,190,Herbalife Gran Canaria,Brooklyn (NY),2001 Rnd 2 Pick 3,United StatesMontenegro
58,Facundo Corvalan,PG,6-2,184,Real Betis Energia Plus,Junin,2020 NBA Draft Eligible,Argentina
59,Matt Costello,C,6-9,245,Herbalife Gran Canaria,Linwood (MI),"2016 NBA Draft, Undrafted",United States
60,Ivan Cruz,C,6-10,237,RETAbet Bilbao Basket,Madrid,"2016 NBA Draft, Undrafted",Spain
61,Aleksandar Cvetkovic,PG,6-2,165,ICL Manresa,Belgrade,"2015 NBA Draft, Undrafted",Serbia
62,Christopher Czerapowicz,G,6-7,210,Rio Natura Monbus Obradoiro,Gothenburg,"2014 NBA Draft, Undrafted",Sweden
63,Nemanja Dangubic,SF,6-9,176,Movistar Estudiantes,Pancevo,2014 Rnd 2 Pick 24,Serbia
64,Mike Daum,F,6-9,235,Rio Natura Monbus Obradoiro,Kimball (NE),"2019 NBA Draft, Undrafted",United States
65,Brandon Davies,PF,6-8,240,FC Barcelona Lassa,Philadelphia (PA),"2013 NBA Draft, Undrafted",United States
66,Jordan Davis,PG,6-2,185,ICL Manresa,Las Vegas (NV),"2019 NBA Draft, Undrafted",United StatesAzerbaijan
67,Shawn Dawson,F,6-6,205,Divina Seguros Joventut,Eilat,"2015 NBA Draft, Undrafted",Israel
68,Maxime De Zeeuw,F,6-8,238,Rio Natura Monbus Obradoiro,Uccle,"2009 NBA Draft, Undrafted",Belgium
69,Gabriel Deck,F,6-6,210,Real Madrid,Santiago del Estero,"2017 NBA Draft, Undrafted",Argentina
70,Malcolm Delaney,SG,6-3,190,FC Barcelona Lassa,Baltimore (MD),"2011 NBA Draft, Undrafted",United States
71,Moussa Diagne,C,6-11,218,MoraBanc Andorra,Rufisque,"2016 NBA Draft, Undrafted",Senegal
72,Alberto Diaz,PG,6-2,187,Unicaja Malaga,Malaga,"2016 NBA Draft, Undrafted",Spain
73,Daniel Diez,SF,6-8,216,Iberostar Tenerife,Madrid,2015 Rnd 2 Pick 24,Spain
74,Nenad Dimitrijevic,PG,6-1,174,Divina Seguros Joventut,Skopje,2020 NBA Draft Eligible,North Macedonia
75,Ilimane Diop,C,6-11,216,KIROLBET Baskonia Vitoria-Gasteiz,Medina Gouna,"2017 NBA Draft, Undrafted",SpainSenegal
76,Khalifa Diop,FC,6-11,231,Herbalife Gran Canaria,Guereo,2024 NBA Draft Eligible,Senegal
77,Aaron Doornekamp,PF,6-7,212,Valencia Basket,Napanee,"2007 NBA Draft, Undrafted",Canada
78,Toney Douglas,G,6-2,195,Movistar Estudiantes,Jonesboro (GA),2009 Rnd 1 Pick 29,United States
79,Zoran Dragic,SG,6-5,200,KIROLBET Baskonia Vitoria-Gasteiz,Ljubljana,"2011 NBA Draft, Undrafted",Slovenia
80,Bojan Dubljevic,FC,6-9,242,Valencia Basket,Niksic,2013 Rnd 2 Pick 29,Montenegro
81,Duje Dukan,F,6-10,220,Movistar Estudiantes,Split,"2015 NBA Draft, Undrafted",Croatia
82,Deividas Dulkys,GF,6-5,196,ICL Manresa,Silute,"2012 NBA Draft, Undrafted",Lithuania
83,Eduardo Duran,SG,6-4,195,UCAM Murcia,Madrid,"2013 NBA Draft, Undrafted",Spain
84,Jarell Eddie,SF,6-8,218,UCAM Murcia,Tampa (FL),"2014 NBA Draft, Undrafted",United States
85,Sigvaldi Eggertson,F,6-6,-,Rio Natura Monbus Obradoiro,,2022 NBA Draft Eligible,Iceland
86,Osas Ehigitor,C,6-10,202,Montakit Fuenlabrada,Seville,2021 NBA Draft Eligible,Spain
87,Melvin Ejim,SF,6-6,220,Unicaja Malaga,Toronto,"2014 NBA Draft, Undrafted",Canada
88,Frank Elegar,F,6-9,225,Unicaja Malaga,The Bronx (NY),"2008 NBA Draft, Undrafted",United StatesU.S. Virgin Islands
89,Obi Enechionyia,FC,6-10,220,Real Betis Energia Plus,Springfield (VA),"2018 NBA Draft, Undrafted",NigeriaUnited States
90,Dylan Ennis,G,6-2,195,Tecnyconta Zaragoza,Brampton,"2017 NBA Draft, Undrafted",United StatesJamaica
91,Micheal Eric,FC,6-11,240,KIROLBET Baskonia Vitoria-Gasteiz,Lagos,"2012 NBA Draft, Undrafted",Nigeria
92,Aitor Etxeguren,C,6-9,-,Tecnyconta Zaragoza,,2024 NBA Draft Eligible,Spain
93,Christian Eyenga,GF,6-7,210,Montakit Fuenlabrada,Kinshasa,2009 Rnd 1 Pick 30,Democratic Republic of the Congo
94,Wilhelm Falk,G,6-7,-,UCAM Murcia,,2025 NBA Draft Eligible,Sweden
95,Youssoupha Fall,C,7-3,271,KIROLBET Baskonia Vitoria-Gasteiz,Dakar,"2017 NBA Draft, Undrafted",Senegal
96,Jaime Fernandez,PG,6-2,178,Unicaja Malaga,Madrid,"2015 NBA Draft, Undrafted",Spain
97,Rudy Fernandez,SG,6-6,185,Real Madrid,Palma,2007 Rnd 1 Pick 24,Spain
98,Guillem Ferrando,PG,6-1,-,Valencia Basket,,2024 NBA Draft Eligible,Spain
99,Frankie Ferrari,G,6-1,188,ICL Manresa,Burlingame (CA),"2019 NBA Draft, Undrafted",United States
100,Bruno Fitipaldo,PG,6-0,183,San Pablo Inmobiliaria Burgos,Montevideo,"2013 NBA Draft, Undrafted",Uruguay
101,Aleix Font,SG,6-4,188,Rio Natura Monbus Obradoiro,Barcelona,2020 NBA Draft Eligible,Spain
102,Marc Garcia Calvo,PG,6-2,172,San Pablo Inmobiliaria Burgos,,2023 NBA Draft Eligible,Spain
103,Javier Garcia Sanchez,SG,6-2,-,Tecnyconta Zaragoza,Zaragoza,2023 NBA Draft Eligible,Spain
104,Marc Garcia,GF,6-6,180,Montakit Fuenlabrada,Manresa,"2018 NBA Draft, Undrafted",Spain
105,Sergi Garcia,PG,6-3,181,KIROLBET Baskonia Vitoria-Gasteiz,Palma,"2019 NBA Draft, Undrafted",Spain
106,Patricio Garino,SF,6-6,203,KIROLBET Baskonia Vitoria-Gasteiz,Mar del Plata,"2016 NBA Draft, Undrafted",Argentina
107,Usman Garuba,C,6-8,220,Real Madrid,Madrid,2024 NBA Draft Eligible,Spain
108,Dovydas Giedraitis,PG,6-4,165,Movistar Estudiantes,Vilnius,2022 NBA Draft Eligible,Lithuania
109,Tomasz Gielo,PF,6-9,228,Iberostar Tenerife,Szczecin,"2016 NBA Draft, Undrafted",Poland
110,Pierre-Antoine Gillet,F,6-7,224,Montakit Fuenlabrada,Huy,"2013 NBA Draft, Undrafted",Belgium
111,Miguel Gonzalez,GF,6-6,204,KIROLBET Baskonia Vitoria-Gasteiz,Valladolid,2021 NBA Draft Eligible,Spain
112,Jayson Granger,PG,6-2,195,KIROLBET Baskonia Vitoria-Gasteiz,Montevideo,"2011 NBA Draft, Undrafted",Uruguay
113,Erick Green,G,6-3,178,Real Betis Energia Plus,Winchester (VA),2013 Rnd 2 Pick 16,United States
114,Fran Guerra,C,7-0,250,Iberostar Tenerife,Las Palmas de Gran Canaria,"2014 NBA Draft, Undrafted",Spain
115,Ruben Guerrero,F,7-0,240,Unicaja Malaga,Marbella,"2019 NBA Draft, Undrafted",Spain
116,Ludde Hakanson,PG,6-3,184,Movistar Estudiantes,Matteus,"2018 NBA Draft, Undrafted",Sweden
117,Adam Hanga,SF,6-7,200,FC Barcelona Lassa,Budapest,2011 Rnd 2 Pick 29,Hungary
118,Clevin Hannah,G,5-11,165,MoraBanc Andorra,Holly Springs (MS),"2010 NBA Draft, Undrafted",United StatesSenegal
119,Luke Harangody,F,6-8,245,Divina Seguros Joventut,Decatur (IL),2010 Rnd 2 Pick 22,United States
120,Demonte Harper,SG,6-4,195,Herbalife Gran Canaria,Nashville (TN),"2011 NBA Draft, Undrafted",United States
121,Tyler Haws,SG,6-5,195,RETAbet Bilbao Basket,Alpine (UT),"2015 NBA Draft, Undrafted",United States
122,Hilmar Henningsson,PG,6-5,-,Valencia Basket,,2022 NBA Draft Eligible,Iceland
123,Pierria Henry,G,6-5,197,KIROLBET Baskonia Vitoria-Gasteiz,South Charleston (WV),"2015 NBA Draft, Undrafted",United States
124,Volodymyr Herun,C,6-10,250,Unicaja Malaga,Dnipropetrovsk,"2015 NBA Draft, Undrafted",Ukraine
125,Thomas Heurtel,G,6-2,180,FC Barcelona Lassa,Pau,"2010 NBA Draft, Undrafted",France
126,Cory Higgins,G,6-5,181,FC Barcelona Lassa,Danville (CA),"2011 NBA Draft, Undrafted",United States
127,Tryggvi Hlinason,C,7-1,260,Tecnyconta Zaragoza,Akureyri,"2018 NBA Draft, Undrafted",Iceland
128,Marcelinho Huertas,PG,6-3,200,Iberostar Tenerife,Santa Catarina,"2005 NBA Draft, Undrafted",Brazil
129,Kyle Hunt,F,6-10,229,UCAM Murcia,Queens (NY),"2013 NBA Draft, Undrafted",United States
130,Goran Huskic,C,6-9,225,San Pablo Inmobiliaria Burgos,Belgrade,"2014 NBA Draft, Undrafted",Serbia
131,Jose Luis Ibanez,F,6-5,190,Iberostar Tenerife,Alicante,2022 NBA Draft Eligible,Spain
132,Ebuka Izundu,PF,6-10,232,Real Betis Energia Plus,Charlotte (NC),"2019 NBA Draft, Undrafted",United States
133,Edwin Jackson,SG,6-2,201,Movistar Estudiantes,Pau,"2011 NBA Draft, Undrafted",France
134,Delroy James,PF,6-8,220,UCAM Murcia,Brooklyn (NY),"2011 NBA Draft, Undrafted",United States
135,Matt Janning,GF,6-4,198,KIROLBET Baskonia Vitoria-Gasteiz,Watertown (MN),"2010 NBA Draft, Undrafted",United StatesGeorgia
136,David Jelinek,SG,6-5,190,MoraBanc Andorra,Brno,"2012 NBA Draft, Undrafted",Czech Republic
137,Millan Jimenez,GF,6-6,-,Valencia Basket,,2024 NBA Draft Eligible,Spain
138,Jerome Jordan,C,7-0,253,Real Betis Energia Plus,Kingston,2010 Rnd 2 Pick 14,Jamaica
139,Guillem Jou,SG,6-6,180,ICL Manresa,Girona,"2019 NBA Draft, Undrafted",Spain
140,Javier Justiz,C,6-9,210,Tecnyconta Zaragoza,Santiago de Cuba,"2014 NBA Draft, Undrafted",Cuba
141,Kenny Kadji,C,6-10,242,Movistar Estudiantes,Douala,"2013 NBA Draft, Undrafted",CameroonUnited States
142,Kerem Kanter,PF,6-10,240,Divina Seguros Joventut,Gemlik,"2018 NBA Draft, Undrafted",Turkey
143,Jovan Kljajic,SG,6-6,200,Herbalife Gran Canaria,Podgorica,2023 NBA Draft Eligible,Montenegro
144,Lahaou Konate,GF,6-5,176,Iberostar Tenerife,Creteil,"2013 NBA Draft, Undrafted",France
145,Martin Krampelj,PF,6-9,235,MoraBanc Andorra,Ljubljana,"2019 NBA Draft, Undrafted",Slovenia
146,Dejan Kravic,C,7-0,240,Rio Natura Monbus Obradoiro,London,"2014 NBA Draft, Undrafted",CanadaSerbia
147,David Kravish,PF,6-10,240,ICL Manresa,Lee's Summit (MO),"2015 NBA Draft, Undrafted",United States
148,Vit Krejci,PG,6-8,195,Tecnyconta Zaragoza,Strakonice,2022 NBA Draft Eligible,Czech Republic
149,Arnoldas Kulboka,SF,6-10,215,RETAbet Bilbao Basket,Marijampole,2018 Rnd 2 Pick 25,Lithuania
150,Kyle Kuric,SG,6-4,195,FC Barcelona Lassa,Evansville (IN),"2012 NBA Draft, Undrafted",United States
151,Louis Labeyrie,PF,6-10,200,Valencia Basket,Gonesse,2014 Rnd 2 Pick 27,France
152,Ben Lammers,C,6-10,234,RETAbet Bilbao Basket,San Antonio (TX),"2018 NBA Draft, Undrafted",United States
153,Nicolas Laprovittola,PG,6-4,180,Real Madrid,Buenos Aires,"2012 NBA Draft, Undrafted",Argentina
154,Giannoulis Larentzakis,GF,6-5,200,UCAM Murcia,Amarousio,"2015 NBA Draft, Undrafted",Greece
155,Manu Lecomte,G,5-11,175,UCAM Murcia,Ixelles,"2018 NBA Draft, Undrafted",Belgium
156,DeAndre Liggins,G,6-6,210,Montakit Fuenlabrada,Chicago (IL),2011 Rnd 2 Pick 23,United States
157,Augusto Cesar Lima,PF,6-10,235,San Pablo Inmobiliaria Burgos,Rio de Janeiro,"2013 NBA Draft, Undrafted",Brazil
158,Nacho Llovet,FC,6-8,225,MoraBanc Andorra,Barcelona,"2013 NBA Draft, Undrafted",Spain
159,Sergio Llull,PG,6-3,190,Real Madrid,Mao,2009 Rnd 2 Pick 4,Spain
160,Alex Lopez,SG,6-2,196,Iberostar Tenerife,Tenerife,"2013 NBA Draft, Undrafted",Spain
161,Lautaro Tomas Lopez,PG,6-3,154,KIROLBET Baskonia Vitoria-Gasteiz,Resistencia,2021 NBA Draft Eligible,Argentina
162,Xabier Lopez-Arostegui,GF,6-7,215,Divina Seguros Joventut,Bilbao,"2019 NBA Draft, Undrafted",Spain
163,Jordan Loyd,G,6-4,210,Valencia Basket,Atlanta (GA),"2016 NBA Draft, Undrafted",United States
164,Gabriel Lundberg,G,6-4,202,Iberostar Tenerife,Copenhagen,"2016 NBA Draft, Undrafted",Denmark
165,Rafa Luz,PG,6-3,202,UCAM Murcia,Sao Paulo,"2014 NBA Draft, Undrafted",Brazil
166,William Magarity,FC,6-11,250,ICL Manresa,Rasunda,"2018 NBA Draft, Undrafted",Sweden
167,Fletcher Magee,SG,6-4,195,Rio Natura Monbus Obradoiro,Orlando (FL),"2019 NBA Draft, Undrafted",United States
168,Rinalds Malmanis,PF,6-9,210,UCAM Murcia,Valmiera,"2018 NBA Draft, Undrafted",Latvia
