,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Real Madrid *,34,1157,2146,0.539,382,847,0.451,775,1299,0.597,533,696,0.7659999999999999,282,850,1132,708,252,87,452,757,3229
1,2.0,FC Barcelona Lassa *,34,1015,2036,0.499,322,818,0.39399999999999996,693,1218,0.569,483,628,0.769,245,871,1116,619,227,95,377,678,2835
2,3.0,Valencia Basket Club *,34,1010,2050,0.493,312,796,0.392,698,1254,0.557,499,616,0.81,279,783,1062,602,225,86,390,675,2831
3,4.0,Laboral Kutxa Baskonia *,34,1035,2165,0.478,328,904,0.363,707,1261,0.561,589,727,0.81,309,841,1150,500,278,111,480,760,2987
4,5.0,Herbalife Gran Canaria *,34,964,2157,0.447,310,907,0.342,654,1250,0.523,580,766,0.757,322,760,1082,556,290,71,435,683,2818
5,6.0,Unicaja Malaga *,34,931,2047,0.455,280,811,0.345,651,1236,0.527,495,656,0.755,373,703,1076,523,257,76,447,715,2637
6,7.0,UCAM Murcia CB *,34,902,2038,0.44299999999999995,327,865,0.37799999999999995,575,1173,0.49,552,736,0.75,329,752,1081,468,255,86,443,864,2683
7,8.0,Montakit Fuenlabrada *,34,974,2138,0.456,352,954,0.369,622,1184,0.525,493,667,0.7390000000000001,296,652,948,557,275,53,422,819,2793
8,9.0,Iberostar Tenerife,34,923,2035,0.45399999999999996,266,776,0.34299999999999997,657,1259,0.522,498,682,0.73,312,690,1002,570,230,49,412,712,2610
9,10.0,Dominion Bilbao Basket,34,922,2046,0.451,320,876,0.365,602,1170,0.515,483,606,0.797,256,719,975,526,237,70,447,852,2647
10,11.0,Baloncesto Sevilla,34,951,2031,0.46799999999999997,251,684,0.36700000000000005,700,1347,0.52,509,651,0.782,285,683,968,493,273,77,485,724,2662
11,12.0,CAI Zaragoza,34,916,2039,0.449,227,691,0.32899999999999996,689,1348,0.511,660,837,0.789,303,819,1122,460,194,81,445,749,2719
12,13.0,FIATC Joventut,34,908,2150,0.42200000000000004,336,974,0.345,572,1176,0.486,482,631,0.764,298,703,1001,500,282,77,455,735,2634
13,14.0,MoraBanc Andorra,34,986,2065,0.47700000000000004,267,761,0.35100000000000003,719,1304,0.551,505,651,0.7759999999999999,272,732,1004,516,239,78,436,707,2744
14,15.0,Rio Natura Monbus Obradoiro,34,867,1934,0.44799999999999995,258,784,0.32899999999999996,609,1150,0.53,572,735,0.778,264,708,972,484,247,77,455,781,2564
15,16.0,ICL Manresa,34,845,1974,0.428,237,742,0.319,608,1232,0.494,456,637,0.716,265,744,1009,420,200,62,458,798,2383
16,17.0,Movistar Estudiantes,34,918,2097,0.43799999999999994,253,812,0.312,665,1285,0.518,475,648,0.733,293,705,998,515,237,78,451,727,2564
17,18.0,RETAbet.es GBC,34,892,2018,0.442,237,660,0.359,655,1358,0.48200000000000004,456,575,0.7929999999999999,232,696,928,440,189,59,439,752,2477
18,,League Average,34,951,2065,0.461,293,815,0.359,658,1250,0.527,518,675,0.767,290,745,1035,525,244,76,441,749,2712
