,#,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace
0,1,FC Barcelona Lassa,0.598,0.565,167.4,29.7,71.0,51.5,58.9,15.0,9.8,5.1,1.3,60.2,117.3,104.7,12.6,3076.4,69.5
1,2,Real Madrid,0.603,0.562,166.8,28.4,71.4,50.8,55.7,14.8,10.4,8.0,1.4,61.5,117.8,106.9,10.8,3165.7,73.2
2,3,KIROLBET Baskonia Vitoria-Gasteiz,0.58,0.542,161.9,26.9,71.9,50.2,48.3,16.1,10.5,7.3,1.3,55.1,111.0,105.6,5.4,2754.4,74.3
3,4,Valencia Basket,0.6,0.5579999999999999,165.7,31.1,70.7,50.9,57.1,15.6,10.2,6.1,1.4,55.9,116.9,112.1,4.8,2910.6,70.8
4,5,Unicaja Malaga,0.563,0.52,159.2,37.5,70.2,53.6,55.6,14.7,9.8,6.3,1.3,55.2,115.6,111.0,4.6,2897.1,68.2
5,6,Iberostar Tenerife,0.562,0.528,153.2,28.5,71.8,50.3,62.8,16.6,11.4,4.8,1.3,55.2,107.5,106.2,1.3,2466.8,72.3
6,7,RETAbet Bilbao Basket,0.562,0.521,155.1,30.3,69.0,49.1,54.6,15.5,10.3,4.7,1.3,49.4,110.7,109.5,1.2,2600.0,69.6
7,8,Divina Seguros Joventut,0.542,0.509,150.1,27.8,69.7,48.1,55.2,15.3,10.0,7.6,1.2,50.3,106.6,106.6,0.0,2609.5,72.0
8,9,Herbalife Gran Canaria,0.542,0.509,152.5,32.3,69.5,50.4,49.3,14.4,10.4,8.8,1.2,51.9,109.5,110.7,-1.3,2555.8,70.7
9,10,UCAM Murcia,0.555,0.513,153.6,32.4,69.9,50.6,47.6,16.7,10.8,7.9,1.3,47.5,108.6,110.2,-1.6,2413.2,70.7
10,11,Tecnyconta Zaragoza,0.5579999999999999,0.506,158.6,25.8,74.3,50.7,52.3,15.2,7.7,5.6,1.3,48.9,107.2,109.6,-2.4,2411.2,70.4
11,12,MoraBanc Andorra,0.541,0.51,151.7,25.7,72.0,48.8,55.9,15.5,9.1,5.5,1.2,48.3,104.4,107.2,-2.7,2440.4,71.2
12,13,Rio Natura Monbus Obradoiro,0.542,0.498,153.1,29.2,68.0,48.2,61.1,16.3,10.3,8.9,1.2,47.6,105.8,108.7,-2.9,2332.7,68.4
13,14,Movistar Estudiantes,0.552,0.512,152.3,27.9,70.1,48.9,53.4,15.3,10.5,7.8,1.3,48.8,107.3,111.8,-4.5,2338.0,68.8
14,15,Montakit Fuenlabrada,0.539,0.49200000000000005,153.6,29.0,71.6,50.5,48.2,16.6,7.5,5.5,1.2,42.9,105.0,112.7,-7.7,2412.4,70.7
15,16,Real Betis Energia Plus,0.5379999999999999,0.494,153.8,30.5,70.8,50.9,51.7,16.7,9.3,6.9,1.2,47.0,104.1,112.5,-8.4,2438.2,71.2
16,17,ICL Manresa,0.531,0.48700000000000004,151.7,26.7,72.2,47.5,47.6,15.5,9.2,6.5,1.2,40.9,103.8,113.0,-9.1,2365.2,69.6
17,18,Delteco GBC,0.527,0.49700000000000005,148.6,23.3,70.8,47.3,58.8,16.4,7.8,3.7,1.2,43.0,99.7,109.6,-9.9,2415.4,70.0
