,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1.0,Real Madrid *,34,1065,2163,0.49200000000000005,355,942,0.377,710,1221,0.581,541,691,0.7829999999999999,304,864,1168,587,223,123,406,612,3026
1,2.0,FC Barcelona Lassa *,34,1050,2092,0.502,348,832,0.418,702,1260,0.557,500,674,0.742,311,839,1150,616,239,85,406,675,2948
2,3.0,Baskonia *,34,1088,2156,0.505,301,810,0.37200000000000005,787,1346,0.585,450,610,0.738,280,839,1119,656,271,98,408,651,2927
3,4.0,Valencia Basket *,34,1000,2071,0.483,360,936,0.385,640,1135,0.564,433,539,0.8029999999999999,317,742,1059,614,188,56,392,610,2793
4,5.0,Unicaja *,34,990,2112,0.469,368,986,0.373,622,1126,0.552,495,620,0.7979999999999999,294,746,1040,585,220,45,414,620,2843
5,6.0,Divina Seguros Joventut *,34,985,2046,0.48100000000000004,321,852,0.377,664,1194,0.556,463,591,0.7829999999999999,279,756,1035,561,220,96,485,712,2754
6,7.0,Tecnyconta Zaragoza *,34,1054,2285,0.461,266,744,0.358,788,1541,0.511,448,609,0.736,313,815,1128,523,231,103,407,716,2822
7,8.0,Iberostar Tenerife,34,971,2050,0.474,380,1004,0.37799999999999995,591,1046,0.565,450,601,0.7490000000000001,278,696,974,613,222,61,382,715,2772
8,9.0,Manresa *,34,927,2079,0.446,309,878,0.35200000000000004,618,1201,0.515,485,682,0.711,310,723,1033,481,213,103,404,710,2648
9,10.0,MoraBanc Andorra,34,959,2161,0.444,327,939,0.348,632,1222,0.517,504,695,0.725,323,701,1024,553,234,77,364,713,2749
10,11.0,San Pablo Burgos,34,977,2051,0.47600000000000003,288,800,0.36,689,1251,0.551,465,644,0.722,297,726,1023,591,205,63,388,673,2707
11,12.0,Herbalife Gran Canaria,34,1028,2235,0.46,330,933,0.354,698,1302,0.536,442,584,0.757,325,697,1022,538,239,71,397,750,2828
12,13.0,Montakit Fuenlabrada,34,983,2176,0.452,293,849,0.345,690,1327,0.52,529,718,0.737,295,700,995,497,218,106,417,749,2788
13,14.0,UCAM Murcia,34,947,2136,0.44299999999999995,312,868,0.359,635,1268,0.501,446,636,0.701,352,756,1108,466,212,81,463,789,2656
14,15.0,Movistar Estudiantes,34,1006,2197,0.45799999999999996,312,881,0.354,694,1316,0.527,489,661,0.74,290,759,1049,527,214,75,384,702,2813
15,16.0,Rio Natura Monbus Obradoiro,34,902,2038,0.44299999999999995,370,1002,0.369,532,1036,0.514,471,597,0.789,252,741,993,590,164,80,393,707,2645
16,17.0,Gipuzkoa Basket,34,924,2112,0.43799999999999994,282,841,0.335,642,1271,0.505,428,597,0.7170000000000001,297,725,1022,553,239,61,445,725,2558
17,18.0,Breogan,34,950,2218,0.428,270,836,0.32299999999999995,680,1382,0.49200000000000005,441,617,0.715,347,788,1135,475,184,109,419,726,2615
18,,League Average,34,989,2132,0.46399999999999997,322,885,0.364,667,1247,0.535,471,631,0.746,304,756,1060,557,219,83,410,698,2772
