,Rk,Club,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PPG
0,1.0,Real Madrid *,34,40.7,81.0,0.502,12.4,32.4,0.38299999999999995,28.3,48.6,0.5820000000000001,19.8,26.4,0.7509999999999999,11.2,32.4,43.5,23.1,8.6,4.8,14.9,25.7,113.7
1,2.0,Baskonia *,34,39.2,80.5,0.48700000000000004,12.5,32.4,0.387,26.7,48.2,0.5539999999999999,20.4,25.7,0.7929999999999999,10.0,33.4,43.4,24.9,7.4,3.3,15.8,27.0,111.3
2,3.0,FC Barcelona Lassa *,34,38.5,78.8,0.488,11.6,29.9,0.389,26.9,49.0,0.5489999999999999,16.4,22.9,0.716,11.1,28.0,39.1,23.6,9.7,3.1,13.6,25.1,105.0
3,4.0,Valencia Basket *,34,30.7,64.8,0.474,11.7,28.3,0.414,19.0,36.5,0.521,16.2,20.5,0.7879999999999999,9.1,24.6,33.7,18.1,6.6,1.8,12.1,19.9,89.4
4,5.0,Herbalife Gran Canaria *,34,36.2,75.0,0.483,9.5,26.9,0.35200000000000004,26.7,48.1,0.556,16.4,22.7,0.723,11.3,25.4,36.7,19.9,8.1,3.0,14.5,23.1,98.3
5,6.0,MoraBanc Andorra *,34,31.6,69.6,0.45399999999999996,10.6,28.8,0.36700000000000005,21.0,40.9,0.514,18.7,25.8,0.726,9.1,24.7,33.8,17.6,8.1,2.7,12.6,24.4,92.5
6,7.0,Iberostar Tenerife *,34,30.1,65.3,0.461,9.0,26.5,0.34,21.1,38.8,0.5429999999999999,14.1,19.1,0.7390000000000001,10.6,24.6,35.2,18.4,6.3,2.8,12.2,22.3,83.3
7,8.0,Unicaja *,34,30.0,66.4,0.451,9.6,27.0,0.354,20.4,39.5,0.517,16.1,20.3,0.795,10.6,24.1,34.7,19.6,7.0,1.8,11.5,19.5,85.6
8,9.0,UCAM Murcia,34,26.2,62.8,0.418,8.4,25.1,0.336,17.8,37.7,0.47200000000000003,16.3,22.6,0.721,10.4,23.0,33.4,12.6,6.4,2.5,11.8,23.5,77.2
9,10.0,Montakit Fuenlabrada,34,28.1,62.2,0.452,8.9,25.5,0.349,19.2,36.7,0.524,12.5,17.5,0.7140000000000001,9.6,21.2,30.9,15.0,5.1,2.3,12.5,23.9,77.7
10,11.0,Movistar Estudiantes,34,29.2,67.6,0.431,9.8,30.4,0.322,19.4,37.3,0.521,16.0,21.5,0.747,9.2,23.6,32.8,17.6,6.3,3.4,10.1,21.9,84.1
11,12.0,Rio Natura Monbus Obradoiro,34,27.3,61.5,0.44299999999999995,9.7,27.0,0.359,17.6,34.5,0.509,13.7,18.4,0.748,9.0,22.0,31.0,16.1,5.2,3.5,12.0,22.3,77.9
12,13.0,San Pablo Burgos,34,29.4,64.6,0.455,7.6,23.5,0.325,21.8,41.1,0.529,15.1,19.8,0.763,8.7,22.3,30.9,16.0,6.9,2.8,12.8,21.5,81.6
13,14.0,Gipuzkoa Basket,34,29.8,66.2,0.449,7.6,23.9,0.32,22.1,42.4,0.522,13.5,18.7,0.7190000000000001,10.7,22.9,33.6,15.9,6.6,2.3,13.2,21.4,80.6
14,15.0,Divina Seguros Joventut,34,28.1,63.2,0.444,8.8,25.9,0.33799999999999997,19.3,37.2,0.518,14.8,19.3,0.7659999999999999,8.9,21.2,30.0,15.0,7.6,1.9,12.5,22.9,79.7
15,16.0,Tecnyconta Zaragoza,34,29.1,64.6,0.45,8.9,25.8,0.344,20.2,38.8,0.52,14.8,19.1,0.7709999999999999,7.1,22.9,30.0,13.7,5.3,2.6,12.0,21.8,81.8
16,17.0,RETAbet Bilbao Basket,34,26.5,60.1,0.441,9.2,25.9,0.354,17.3,34.1,0.507,14.1,19.8,0.7120000000000001,7.6,20.8,28.4,14.0,5.9,1.9,12.3,22.3,76.2
17,18.0,Real Betis Energia Plus,34,28.5,62.9,0.45299999999999996,6.9,21.8,0.319,21.5,41.1,0.523,13.4,18.3,0.7340000000000001,7.4,21.1,28.4,14.2,6.1,1.4,12.5,19.8,77.3
18,,League Average,34,31.1,67.6,0.45899999999999996,9.6,27.1,0.355,21.5,40.6,0.529,15.7,21.0,0.746,9.5,24.3,33.9,17.5,6.8,2.7,12.7,22.7,87.4
